country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccinated_percent,tested_positive
Benin,Africa,8025,101.0,7893,31,35.0,647,8.0,604310.0,48717.0,12404431,"Oxford/AstraZeneca, Sinovac",12934.0,12516.0,418.0,0.0,250.0,0.11,0.1,0.0,21.0,0.10426919219430542,1.327960814813589
Bermuda,North America,2488,32.0,2383,73,7.0,40082,516.0,261280.0,4209305.0,62072,Pfizer/BioNTech,68822.0,36096.0,32726.0,0.0,773.0,110.52,57.96,52.55,12413.0,110.87446835932467,0.9522351500306185
Bhutan,Asia,1394,1.0,1186,207,,1789,1.0,768998.0,986944.0,779171,Oxford/AstraZeneca,482716.0,482716.0,0.0,97322.0,91636.0,62.56,62.56,0.0,118759.0,61.95251106624862,0.18127485377075103
Bolivia,South America,349653,13965.0,282010,53678,200.0,29595,1182.0,1383371.0,117089.0,11814647,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1616658.0,1271262.0,345396.0,87847.0,45065.0,13.85,10.89,2.96,3861.0,13.683506582972813,25.275432259314385
Bosnia And Herzegovina,Europe,203150,9108.0,172005,22037,,62267,2792.0,954240.0,292481.0,3262566,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",232706.0,188848.0,43858.0,0.0,13677.0,7.09,5.76,1.34,4169.0,7.132606666041393,21.289193494299127
Botswana,Africa,51620,784.0,48449,2387,1.0,21564,328.0,1111863.0,464483.0,2393767,Oxford/AstraZeneca,71500.0,71500.0,0.0,0.0,2692.0,3.04,3.04,0.0,1145.0,2.9869239570935684,4.642658313119512
Brazil,South America,16083573,449185.0,14492167,1142221,8318.0,75190,2100.0,49013934.0,229138.0,213906072,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",66432341.0,44564785.0,21867556.0,3368729.0,1352814.0,31.25,20.97,10.29,6364.0,31.05678131474454,32.81428705559525
British Virgin Islands,North America,248,1.0,209,38,,8155,33.0,39777.0,1308024.0,30410,Oxford/AstraZeneca,15031.0,11255.0,3776.0,0.0,0.0,49.71,37.22,12.49,0.0,49.4278197961197,0.6234758780199613
Brunei Darussalam,Asia,235,3.0,224,8,,533,7.0,123643.0,280236.0,441210,Oxford/AstraZeneca,33850.0,30000.0,5799.0,340.0,1380.0,7.74,6.86,1.33,3154.0,7.672083588313955,0.19006332748315716
Bulgaria,Europe,416646,17496.0,373385,25765,402.0,60369,2535.0,2749884.0,398439.0,6901646,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1341130.0,796827.0,544303.0,38117.0,27038.0,19.3,11.47,7.83,3891.0,19.432031141556667,15.15140275007964
Burkina Faso,Africa,13415,165.0,13230,20,,627,8.0,186093.0,8692.0,21410701,,,,,,,,,,,,7.208761210792453
Burundi,Africa,4494,6.0,773,3715,,368,,279132.0,22872.0,12204038,,,,,,,,,,,,1.609990972013241
Cabo Verde,Africa,29334,256.0,26842,2236,23.0,52255,456.0,160181.0,285343.0,561363,"Oxford/AstraZeneca, Pfizer/BioNTech",24382.0,21663.0,2719.0,0.0,390.0,4.39,3.9,0.49,701.0,4.3433571503643815,18.313033380987758
Cambodia,Asia,25761,179.0,18359,7223,,1522,11.0,1113752.0,65806.0,16924754,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",4329034.0,2464835.0,1864199.0,109301.0,93628.0,25.89,14.74,11.15,5600.0,25.578120662787775,2.3129924794747843
Cameroon,Africa,77733,1239.0,72226,4268,385.0,2865,46.0,1518411.0,55965.0,27131360,"Oxford/AstraZeneca, Sinopharm/Beijing",64829.0,56583.0,8246.0,400.0,2569.0,0.24,0.21,0.03,97.0,0.23894489623815393,5.119364915032886
Canada,North America,1359180,25231.0,1280155,53794,1344.0,35733,663.0,33979043.0,893317.0,38036939,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",22810709.0,20932071.0,1878638.0,488221.0,374185.0,60.44,55.46,4.98,9914.0,59.96988611517872,4.000053797865938
Caribbean Netherlands,North America,1609,17.0,1573,19,,60855,643.0,8550.0,323374.0,26440,,,,,,,,,,,,18.8187134502924
Cayman Islands,North America,574,2.0,554,18,,8643,30.0,94773.0,1427111.0,66409,"Oxford/AstraZeneca, Pfizer/BioNTech",80120.0,43235.0,36885.0,1579.0,1024.0,121.91,65.79,56.12,15581.0,120.64629794154406,0.6056577295221213
Central African Republic,Africa,7079,97.0,6665,317,2.0,1443,20.0,54319.0,11076.0,4904364,"Covaxin, Oxford/AstraZeneca",667.0,667.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.013600132453463896,13.032272317237062
Chad,Africa,4924,173.0,4729,22,,292,10.0,118413.0,7030.0,16842943,,,,,,,,,,,,4.158327210694772
Channel Islands,Europe,4059,86.0,3956,17,,23156,491.0,454413.0,2592350.0,175290,,,,,,,,,,,,0.8932402902205703
Chile,South America,1329918,28518.0,1259080,42320,2980.0,69042,1481.0,14348965.0,744922.0,19262384,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",18222484.0,10323751.0,7898733.0,430027.0,298433.0,95.32,54.01,41.32,15612.0,94.60139513364493,9.268389741002226
China,Asia,90991,4636.0,86030,325,3.0,63,3.0,160000000.0,111163.0,1439323776,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",602991000.0,0.0,0.0,20009000.0,17092571.0,41.89,0.0,0.0,11875.0,41.89404844514984,0.05686937500000001
China Hong Kong Sar,Asia,11833,210.0,11553,70,2.0,1567,28.0,14841321.0,1965433.0,7551173,,,,,,,,,,,,0.07973009949720783
China Macao Sar,Asia,50,,49,1,,76,,4483.0,6821.0,657208,,,,,,,,,,,,1.1153245594467989
